"name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Yates, Kirby","489446","93.6",,,"83.9",,,"86.1",,"76.4",
"Ginkel, Kevin","656464","95.7","94.8",,"86.7",,,,,,
"Erceg, Lucas","668674","98","98","90.7","86.2","90.3",,,,,
"De Los Santos, Enyel","660853","95.6",,,"84.1","87.8",,,,,
"Foley, Jason","671345","98.1","97.2",,"88.9","91.5",,,,,
"Santos, Gregory","666619","97.4","98.8",,"91.4","93.2",,,,,
"Jax, Griffin","643377","96.5","96.5","92.6",,"91.1",,,,"86.7",
"Topa, Justin","623437",,"95","92.4","82.8","86.8",,,,,
"Abreu, Albert","656061","96.7","97.4",,"87.7","88.3",,,,,
"Woodruff, Brandon","605540","95.8","95",,"86.9","85.8","82.9",,,,
"Hader, Josh","623352",,"96.1",,"85.7","88.5",,,,,
"VerHagen, Drew","572403","93.4","92.7","88.2",,"88.5",,,,"81.3",
"Maton, Phil","664208",,"88.3","89",,,"73.8",,,"79.7",
"Sewald, Paul","623149","92.2",,,,,,,,"83.8",
"Faedo, Alex","656412","92.9",,,"82.3","85.9",,,,,
"Sheehan, Emmet","686218","95.4",,,"87.1","82.9",,,,"79.3",
"Milner, Hoby","571948","89","88.2",,,"81.1",,,,"79.6",
"Moll, Sam","594580","94.1","93.4",,,"86.4",,,,"81.8",
"Pressly, Ryan","519151","94.7","94.2","94.4","89.8","89.9","82.1",,,,
"Ottavino, Adam","493603","93.1","92.5","87.8",,"87.6",,,,"79.6",
"Holmes, Clay","605280",,"96",,"87.5",,,,,"83.9",
"Okert, Steven","595345","93.8","94.2",,"81.9",,,,,,
"McHugh, Collin","543521","91.3",,"89",,"84.8","73.2",,,"79.9",
"Duran, Jhoan","661395","101.8",,,,,"87.7","98.3",,,
"Cano, Yennier","666974","96.6","96.3",,"87.5","90.9",,,,,
"Brazoban, Huascar","623211","96.6","96","87.4",,"89.3",,,,,
"García, Luis","472610","96.9","97.3",,"83.4",,,"88.2",,"81.3",
"Castro, Miguel","612434",,"96.8",,"83.8","91.4",,,,,
"Chapman, Aroldis","547973","99","101.1",,"88.1",,,"90.4",,,
"Banks, Tanner","621383","92.6","91.4",,"86.3","86.3","80.9",,,,
"Sandlin, Nick","680704","92.1","92.4",,"79.1",,,"85.9",,,
"Jackson, Andre","656578","94.9",,,"87.1","86.9","81.5",,,,
"Diekman, Jake","518617","95.4","95.1","88.7",,"87.9",,,,"83.7",
"Kluber, Corey","446372","88.1","88.2","86.1",,"82.1","80.5",,,,
"Bautista, Félix","642585","99.5",,,"86.7",,,"88.6",,,
"Cisnero, José","542585","95.8","95.5","89","84.7","88.8",,,,,
"Raley, Brooks","548384","89.7","89.9","86.8",,"84.8",,,,"81.5",
"Hamilton, Ian","641656","96.2","95.6",,"88.1",,,,,,
"Gott, Trevor","641627","93.3","93.8","89.2",,"87","80.7",,,,
"Leclerc, José","600917","95.1","95.2","90.2","82.8","88.3",,,,,
"Bradford, Cody","674003","90.4",,"86.6","83.1","82.1",,,,,
